,Question,Marks,type
66,How you classify the entrepreneurs? Give the details of different entrepreneurial Development Programmes.,7,Descriptive
67,Explain the different types of innovation with appropriate examples. 10 2,7,Descriptive
68,What do you mean by Organizational Effectiveness? Explain how to measure it.,7,Descriptive
69,Discuss project appraisal. Why is the project appraisal done? 10 3,7,Descriptive
70,Explain the various stages in project life cycle. Why project life cycle is,7,Descriptive
71,Explain different types of project cost estimation techniques. 10 4,7,Descriptive
72,Describe fund. Explain detailed project report.  10 4,7,Descriptive
73,How you do marketing for any social entrepreneurship? Discuss about the risks involved in social enterprise.,7,Descriptive
74,Explain the different types and opportunities for social entrepreneurship. 10 5  ],7,Descriptive
75,Mention the different features of an entrepreneur. 2 1,2,Descriptive
76,What do you mean by Achievement motivation? 2 1,2,Descriptive
77,What are the four major themes of entrepreneurship and innovation? 2 2,2,Descriptive
78,What is feasibility study of a project? 2 2,2,Descriptive
79,Define project goals. 2 3,2,Descriptive
80,What is the difference between a cash flow statement and a forecast? 2 3,2,Descriptive
81,What is market assessment? 2 4,2,Descriptive
82,What are the types of growth strategy? 2 4,2,Descriptive
83,What are the objectives of marketing management? 2 5,2,Objective
84,What is the legal structure used in social entrepreneurship sector? 2 5,2,Descriptive
85,How to highlight the entrepreneur’s  skills during the hiring process? 10 1,7,Descriptive
86,Give strategies for a sustainable enterprise model. 10 2,7,Descriptive
87,Define the project life cycle. What are the five main stages of the project,7,Descriptive
88,Evaluate feasibility and establish the project’s purpose and stakeholders. 10 4,7,Descriptive
89,What are the signals and causes in industrial sickness? Describe. 10 5,7,Descriptive
90,‘Entrepreneurship is a process of giving birth to an enterprise’. Discuss. 10 1,7,Descriptive
91,Identify the problems faced by an entrepreneur in India. 10 1,7,Descriptive
92,What is meant by entrepreneurial motivation? Is it required to be a,7,Descriptive
93,Describe the five elements for a sustainable business model. 10 2,7,Descriptive
94,How are projects classified? In your view which criterion seems to be,7,Descriptive
95,What do you understand by project identification? Discuss with examples the process involved in project identification.,7,Descriptive
96,Differentiate Project cost estimation and Project estimate. 10 4,7,Comparison
97,Write the six steps to making financial projections for your new business.,7,Descriptive
98,What are the different types of social entrepreneurship? Explain any two of them.,7,Descriptive
99,Write the practices used in marketing for social enterprises.  10 5  ],7,Descriptive
100,(a) Define the term Innovation. 2 2,2,Descriptive
101,(b) Define the term Entrepreneurship. 2 1,2,Descriptive
102,(c) What do you mean by value creation? 2 2,2,Descriptive
103,(d) What do you mean by the sustainability of a modal? 2 1,2,Descriptive
104,(e) Define the term Project Management. 2 3,2,Descriptive
105,(f) What are the roles of Project Manager? 2 3,2,Descriptive
106,(g) What do you mean by Project Financing? 2 4,2,Descriptive
107,(h) What do you mean by working capital requirements? 2 4,2,Descriptive
108,(i) Define the terms effectiveness and efficiency. 2 5,2,Descriptive
109,(j) What do you mean by Social ventures? 2 5,2,Descriptive
110,(a) What do you mean by the Marketing Management for Social Ventures? Discuss in detail with some example.,7,Descriptive
111,(b) Discuss about the concept of Identifying Business Opportunities. 10 2,7,Descriptive
112,(c) Discuss about the concept of preparation of a real time project feasibility report. 10 3,7,Descriptive
113,(d) Discuss about the sources of funds and capital budgeting under the Project management and Entrepreneurship.,7,Descriptive
114,(e) Discuss in detail about the Entrepreneurial competencies and traits. 10 1,7,Descriptive
115,(a) Discuss the concept of Social Innovations and Sustainability with some example. 10 5,7,Descriptive
116,(b) Discuss about the Management skills for Entrepreneurs and managing for Value Creation.,7,Descriptive
117,(a) What are the Factors affecting Entrepreneurial development? Discuss. 10 1,7,Descriptive
118,(b) Discuss about the Technical appraisal and Environmental appraisal. 10 3,7,Descriptive
119,(a) Discuss about the Risk and uncertainty in project evaluation. 10 4,7,Descriptive
120,(b) Define Risk Management in Social Enterprises in detail. 10 5,7,Descriptive
121,(a) Write about the concept behind the Creating and Sustaining Enterprising Model. 10 2,7,Descriptive
122,(b) Discuss about the conceptual model of Entrepreneurship in detail. 10 1,7,Descriptive
123,(a) Discuss about the Market appraisal and Managerial appraisal. 10 3,7,Descriptive
124,(b) Discuss about the concept of Projected balance sheet and projected income statement. 10 4  ],7,Descriptive
